vg	vd	ids
0.0	0.0	2.91220474429901E-17
0.0	0.05	5.34061051904512E-14
0.0	0.1	5.94487549494004E-14
0.0	0.15	6.12248851963673E-14
0.0	0.2	6.29475268327954E-14
0.0	0.25	6.46262459843941E-14
0.0	0.3	6.63393458096846E-14
0.0	0.35	6.81149158071039E-14
0.0	0.4	6.98670726763692E-14
0.0	0.45	7.16493552376765E-14
0.0	0.5	7.34611548617220E-14
0.0	0.55	7.53239424514376E-14
0.0	0.6	7.73035994039735E-14
0.0	0.65	7.91204448467239E-14
0.0	0.7	8.11319224478835E-14
0.0	0.75	8.31644679101544E-14
0.0	0.8	8.52469738436440E-14
0.0	0.85	8.73484965402266E-14
0.0	0.9	8.94878061606741E-14
0.0	0.95	9.16912755320174E-14
0.0	1.0	9.39262229645294E-14
0.0	1.05	9.62492011642589E-14
0.0	1.1	9.85845841656228E-14
0.0	1.15	1.01038010726469E-13
0.0	1.2	1.03473109322269E-13
0.1	0.0	-1.87488385611208E-17
0.1	0.05	1.67816104655014E-12
0.1	0.1	1.87463421732214E-12
0.1	0.15	1.93640171352319E-12
0.1	0.2	1.99312146470841E-12
0.1	0.25	2.05036816136077E-12
0.1	0.3	2.10837841212688E-12
0.1	0.35	2.16705675625598E-12
0.1	0.4	2.22677106163334E-12
0.1	0.45	2.28742898185485E-12
0.1	0.5	2.34916897498404E-12
0.1	0.55	2.41183178376692E-12
0.1	0.6	2.47587591880879E-12
0.1	0.65	2.54105808561147E-12
0.1	0.7	2.60802500762938E-12
0.1	0.75	2.67605912465798E-12
0.1	0.8	2.74551458787647E-12
0.1	0.85	2.81657763072487E-12
0.1	0.9	2.88913063137476E-12
0.1	0.95	2.96328648591368E-12
0.1	1.0	3.03915483955347E-12
0.1	1.05	3.11680104327453E-12
0.1	1.1	3.19624998699009E-12
0.1	1.15	3.27749999971929E-12
0.1	1.2	3.36080320607272E-12
0.2	0.0	-2.56809118455987E-17
0.2	0.05	5.39241792330600E-11
0.2	0.1	6.04900883781138E-11
0.2	0.15	6.26350777752082E-11
0.2	0.2	6.45934146966263E-11
0.2	0.25	6.65649767301737E-11
0.2	0.3	6.85568182627343E-11
0.2	0.35	7.05729570595979E-11
0.2	0.4	7.26169981279388E-11
0.2	0.45	7.46921084673475E-11
0.2	0.5	7.68012334097615E-11
0.2	0.55	7.89328217263694E-11
0.2	0.6	8.11216823967445E-11
0.2	0.65	8.33574562610633E-11
0.2	0.7	8.56240529967121E-11
0.2	0.75	8.79385228659998E-11
0.2	0.8	9.03050178624233E-11
0.2	0.85	9.27161333426151E-11
0.2	0.9	9.51808377407603E-11
0.2	0.95	9.76996207195596E-11
0.2	1.0	1.00273830199357E-10
0.2	1.05	1.02906109588991E-10
0.2	1.1	1.05597854471848E-10
0.2	1.15	1.08351364403194E-10
0.2	1.2	1.11168512608206E-10
0.3	0.0	3.12709457758539E-17
0.3	0.05	1.75470366464284E-09
0.3	0.1	1.97768700090365E-09
0.3	0.15	2.05306873722605E-09
0.3	0.2	2.12139881332588E-09
0.3	0.25	2.18984447097919E-09
0.3	0.3	2.25872994995606E-09
0.3	0.35	2.32824284526020E-09
0.3	0.4	2.39853933058853E-09
0.3	0.45	2.46975102676203E-09
0.3	0.5	2.54123631008292E-09
0.3	0.55	2.61517232629948E-09
0.3	0.6	2.68980460234784E-09
0.3	0.65	2.76575066279705E-09
0.3	0.7	2.84312507488320E-09
0.3	0.75	2.92192384238421E-09
0.3	0.8	3.00223982451059E-09
0.3	0.85	3.08418053652787E-09
0.3	0.9	3.16778399435269E-09
0.3	0.95	3.25313187738458E-09
0.3	1.0	3.34029164805655E-09
0.3	1.05	3.42932288772624E-09
0.3	1.1	3.52029597822084E-09
0.3	1.15	3.61327545119420E-09
0.3	1.2	3.70832635304744E-09
0.4	0.0	-1.32194604491924E-17
0.4	0.05	5.67085133416922E-08
0.4	0.1	6.43558745291585E-08
0.4	0.15	6.70055148674328E-08
0.4	0.2	6.93683955470755E-08
0.4	0.25	7.17132176611930E-08
0.4	0.3	7.40570756301647E-08
0.4	0.35	7.64095477300030E-08
0.4	0.4	7.87780057871362E-08
0.4	0.45	8.11683039928895E-08
0.4	0.5	8.35767544053222E-08
0.4	0.55	8.60303612989649E-08
0.4	0.6	8.85140959468003E-08
0.4	0.65	9.10343876229974E-08
0.4	0.7	9.35947537794613E-08
0.4	0.75	9.61984122270827E-08
0.4	0.8	9.88474755933529E-08
0.4	0.85	1.01544266492822E-07
0.4	0.9	1.04291141188114E-07
0.4	0.95	1.07090228130049E-07
0.4	1.0	1.09943567131847E-07
0.4	1.05	1.12853166895181E-07
0.4	1.1	1.15820986506197E-07
0.4	1.15	1.18848956982922E-07
0.4	1.2	1.21938986952386E-07
0.5	0.0	-3.23921462367656E-17
0.5	0.05	1.48057409274809E-06
0.5	0.1	1.73162844143552E-06
0.5	0.15	1.80846780971674E-06
0.5	0.2	1.87034354103089E-06
0.5	0.25	1.93002971426898E-06
0.5	0.3	1.98860737297127E-06
0.5	0.35	2.04653301631925E-06
0.5	0.4	2.10411272196504E-06
0.5	0.45	2.16143350508213E-06
0.5	0.5	2.21903276949624E-06
0.5	0.55	2.27674453420340E-06
0.5	0.6	2.33469561924065E-06
0.5	0.65	2.39302285443929E-06
0.5	0.7	2.45178684018049E-06
0.5	0.75	2.51105140490479E-06
0.5	0.8	2.57087147939584E-06
0.5	0.85	2.63129353215278E-06
0.5	0.9	2.69235972193771E-06
0.5	0.95	2.75410792872707E-06
0.5	1.0	2.81657126039769E-06
0.5	1.05	2.87978172010021E-06
0.5	1.1	2.94376814458928E-06
0.5	1.15	3.00855616773767E-06
0.5	1.2	3.07417132758329E-06
0.6	0.0	5.56616461209114E-18
0.6	0.05	1.16756101463274E-05
0.6	0.1	1.61058434134242E-05
0.6	0.15	1.74003490597227E-05
0.6	0.2	1.79564960260183E-05
0.6	0.25	1.83963712856622E-05
0.6	0.3	1.88046091908801E-05
0.6	0.35	1.91945468146790E-05
0.6	0.4	1.95709948420189E-05
0.6	0.45	1.99391768330160E-05
0.6	0.5	2.02996270838808E-05
0.6	0.55	2.06546089265599E-05
0.6	0.6	2.10053896637449E-05
0.6	0.65	2.13528904319643E-05
0.6	0.7	2.16978753930122E-05
0.6	0.75	2.20408919865136E-05
0.6	0.8	2.23824544590491E-05
0.6	0.85	2.27229442115057E-05
0.6	0.9	2.30626752117894E-05
0.6	0.95	2.34019578255913E-05
0.6	1.0	2.37410008452459E-05
0.6	1.05	2.40800128486007E-05
0.6	1.1	2.44191939687464E-05
0.6	1.15	2.47586712100721E-05
0.6	1.2	2.50985841447495E-05
0.7	0.0	1.07601063153956E-17
0.7	0.05	2.82354788251198E-05
0.7	0.1	4.57491085558406E-05
0.7	0.15	5.48637911080424E-05
0.7	0.2	5.88210200302488E-05
0.7	0.25	6.06229698747479E-05
0.7	0.3	6.18325051529792E-05
0.7	0.35	6.28773737349247E-05
0.7	0.4	6.38409078112210E-05
0.7	0.45	6.47545203711646E-05
0.7	0.5	6.56282834125113E-05
0.7	0.55	6.64731532297101E-05
0.7	0.6	6.72956210461304E-05
0.7	0.65	6.81001392688603E-05
0.7	0.7	6.88899074166943E-05
0.7	0.75	6.96674418487819E-05
0.7	0.8	7.04345302875549E-05
0.7	0.85	7.11927665924775E-05
0.7	0.9	7.19433101260895E-05
0.7	0.95	7.26871790514915E-05
0.7	1.0	7.34251952574810E-05
